                                  TRAFFIC COUNT SUMMARY
                                                                                                                   City of Los Angeles
STREET:                                                                                            Department of Transportation
North/South       FIGUEROA ST                                                                                          (Rev Apr 92)

East/West         AVE 61

Day:    TU                         Date:       SEP 15, 1992            Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES              District:           CENTRAL


                   N/B                           S/B                     E/B                       W/B
DUAL-
WHEELED            152                          161                      16                         0

BUSES               62                           55                       0                         0


                   N/B TIME                      S/B TIME                E/B TIME                  W/B     TIME

AM PK 15 MIN       161     7.30                 358    8.00              26    8.30                 0      7.00

PM PK 15 MIN       271     5.15                 238    3.30              34    5.15                 0      3.00

AM PK HOUR         606     7.30                1250    7.30              84    7.45                 0      7.00

PM PK HOUR 1046            5.00                 857    3.00             105    5.00                 0      3.00




NORTHBOUND Approach                                    SOUTHBOUND Approach                               TOTAL     XING S/L        XING N/L

Hours        Lt    Th      Rt      Total               Hours     Lt   Th       Rt      Total              N-S       Ped    Sch     Ped   Sch
7-8          55    494       0       549               7-8         0 918       10        928              1477       0      0       0     0
8-9          58    468       0       526               8-9         0 1056        9      1065              1591       0      0       4     0
9-10         55    446       0       501               9-10        0 540         5       545              1046       0      0       5     0
3-4         104    821       0       925               3-4         0 834       23        857              1782       0      0       8     9
4-5          89    897       0       986               4-5         0 805       22        827              1813       0      0       3     2
5-6         114    932       0      1046               5-6         0 794       25        819              1865       0      0       2     1

TOTAL       475 4058         0      4533               TOTAL      0 4947          94    5041              9574        0       0     22    12


EASTBOUND Approach                                     WESTBOUND Approach                                TOTAL     XING W/L        XING E/L

Hours       Lt     Th      Rt      Total               Hours     Lt     Th     Rt      Total              E-W       Ped    Sch     Ped   Sch
7-8           6      0     62          68              7-8         0      0      0             0             68     14      1       0     0
8-9           7      0     76          83              8-9         0      0      0             0             83      9      0       0     0
9-10          2      0     49          51              9-10        0      0      0             0             51     13      0       0     0
3-4         12       0     86          98              3-4         0      0      0             0             98     37     69       0     0
4-5           9      0     69          78              4-5         0      0      0             0             78     51     27       0     0
5-6           7      0     98        105               5-6         0      0      0             0            105     50     21       0     0

TOTAL       43       0     440        483              TOTAL      0       0       0            0           483     174    118        0        0

