                                                                   TRAFFIC COUNT SUMMARY
INTERSECTION:
North/South SEPULVEDA BLVD
East/West           CHURCH LANE/OVADA PL

Day:     WED                          Date:       9/20/06                   Weather:          CLEAR

Hours: 7-10 AM 3-6 PM

School Day:         YES               District:             LOS ANGELES


                      N/B      TIME                 S/B      TIME              E/B     TIME            W/B    TIME

AM PK 15 MIN          191      8:15                 563       7:30              68     9:00             82     8:00

PM PK 15 MIN          647      5:00                 171       5:45             189     5:45             65     3:00

AM PK HOUR            714      8:00                2213       7:30             230     9:00            240     7:30

PM PK HOUR           2561      4:30                 637       5:00             664     5:00            188     4:30


NORTHBOUND Approach                                         SOUTHBOUND Approach                              TOTAL    XING S/L         XING N/L

 Hours         Lt         Th     Rt      Total               Hours     Lt       Th       Rt    Total           N-S      Ped      Sch     Ped      Sch
7-8           17      470        67       554               7-8        0      1470      666    2136           2690         0       0        0       0
8-9           22      606        86       714               8-9        4      1595      583    2182           2896         0       0        0       0
9-10          32      497        68       597               9-10       5      1506      588    2099           2696         0       0        0       0
3-4           21     1953       186      2160               3-4        8       320      206     534           2694         0       0        0       0
4-5           27     2258       221      2506               4-5        4       346      208     558           3064         0       0        0       0
5-6           18     2270       229      2517               5-6        1       397      239     637           3154         0       0        0       0


TOTAL         137    8054       857      9048               TOTAL     22      5634     2490    8146          17194         0       0        0       0

EASTBOUND Approach                                          WESTBOUND Approach                               TOTAL    XING W/L         XING E/L

 Hours         Lt         Th     Rt      Total               Hours     Lt       Th       Rt    Total           E-W      Ped      Sch     Ped      Sch
7-8           81          41     30       152               7-8       56       109        2     167            319         0       0        0       0
8-9           141         48     29       218               8-9       81       138        6     225            443         0       0        0       0
9-10          142         48     40       230               9-10      52        94       10     156            386         0       0        0       0
3-4           459         68     29       556               3-4       61       107        8     176            732         0       0        0       0
4-5           550         69     24       643               4-5       46       127        7     180            823         0       0        0       0
5-6           563         54     47       664               5-6       62        99        3     164            828         0       0        0       0


TOTAL       1936      328       199      2463               TOTAL     358      674       36    1068           3531         0       0        0       0

