                                TRAFFIC COUNT SUMMARY
                                                                                                            City of Los Angeles
STREET:                                                                                     Department of Transportation
North/South       LAUREL CYN BL                                                                                 (Rev Apr 92)

East/West         ALBERS ST

Day:    TU                       Date:       OCT 13,1992          Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:          EAST VALLEY


                   N/B                        S/B                   E/B                     W/B
DUAL-
WHEELED            145                        188                    0                       2

BUSES               16                         24                    0                       0


                   N/B TIME                   S/B TIME              E/B TIME                W/B     TIME

AM PK 15 MIN       230   7.45                 408   9.00             0    7.00              12      7.30

PM PK 15 MIN       375   5.30                 264   3.15             0    3.00               8      4.00

AM PK HOUR         788   7.45                1582   8.15             0    7.00              36      7.15

PM PK HOUR 1368          5.00                1044   3.00             0    3.00              21      3.30




NORTHBOUND Approach                                 SOUTHBOUND Approach                           TOTAL     XING S/L        XING N/L

Hours       Lt   Th      Rt      Total              Hours   Lt     Th     Rt      Total            N-S       Ped    Sch     Ped   Sch
7-8           0 507      13        520              7-8     21    1286      0      1307            1827       0      0       6     3
8-9           0 717      18        735              8-9     41    1519      0      1560            2295       0      0      12     0
9-10          0 655      18        673              9-10    30    1444      0      1474            2147       0      0       6     1
3-4           0 1311     39       1350              3-4     26    1018      0      1044            2394       0      0       1     0
4-5           0 1160     21       1181              4-5     24     975      0       999            2180       1      0       4     0
5-6           0 1341     27       1368              5-6     33     982      0      1015            2383       1      0       1     0

TOTAL         0 5691     136      5827              TOTAL   175 7224         0     7399            13226       2       0     30        4


EASTBOUND Approach                                  WESTBOUND Approach                            TOTAL     XING W/L        XING E/L

Hours       Lt     Th    Rt      Total              Hours   Lt     Th     Rt      Total            E-W       Ped    Sch     Ped   Sch
7-8           0      0     0             0          7-8       7      0    22          29             29       0      0      13     2
8-9           0      0     0             0          8-9       9      0    18          27             27       0      0      20     1
9-10          0      0     0             0          9-10      2      0    21          23             23       0      0      16     2
3-4           0      0     0             0          3-4       7      0      6         13             13       0      0       5     0
4-5           0      0     0             0          4-5       4      0    10          14             14       0      0      22     0
5-6           0      0     0             0          5-6       1      0      3           4              4      0      0      35     0

TOTAL         0     0      0             0          TOTAL   30       0       80      110            110        0       0    111        5

