                                TRAFFIC COUNT SUMMARY
                                                                                                                 City of Los Angeles
STREET:                                                                                          Department of Transportation
North/South       VINELAND AVE                                                                                       (Rev Apr 92)

East/West         CHANDLER BL S I/S

Day:    TU                       Date:       SEP 15,1992              Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:           EV


                   N/B                         S/B                      E/B                      W/B
DUAL-
WHEELED            142                        239                       31                        0

BUSES               14                         34                        0                        0


                   N/B TIME                    S/B TIME                 E/B TIME                 W/B     TIME

AM PK 15 MIN       165   8.00                 343    8.30               58    7.45                0      7.00

PM PK 15 MIN       271   5.00                 272    3.00               54    5.30                0      3.00

AM PK HOUR         590   9.00                1320    7.45              219    7.45                0      7.00

PM PK HOUR         990   4.30                1010    5.00              203    5.00                0      3.00



NORTHBOUND Approach                                  SOUTHBOUND Approach                               TOTAL     XING S/L       XING N/L

Hours       Lt     Th    Rt      Total               Hours   Lt      Th       Rt     Total              N-S       Ped    Sch     Ped   Sch
7-8          11    418     0       429               7-8          0 1010       41     1051              1480       0      0       0     0
8-9          24    543     0       567               8-9          0 1245       54     1299              1866       0      0       1     0
9-10         35    555     0       590               9-10         0 833        47      880              1470       1      0       0     0
3-4          25    757     0       782               3-4          0 915        60      975              1757       0      0       0     0
4-5          31    874     0       905               4-5          0 733        75      808              1713       0      0       0     0
5-6          27    739     0       766               5-6          0 904       106     1010              1776       0      0       0     0

TOTAL       153 3886       0      4039               TOTAL        0 5640      383     6023              10062       1       0      1       0


EASTBOUND Approach                                   WESTBOUND Approach                                TOTAL     XING W/L       XING E/L

Hours       Lt     Th    Rt      Total               Hours   Lt        Th     Rt     Total              E-W       Ped    Sch     Ped   Sch
7-8          79      0    48       127               7-8          0      0      0            0            127       6     0       0     0
8-9         117      0    99       216               8-9          0      0      0            0            216       7     0       0     0
9-10        118      0    85       203               9-10         0      0      0            0            203       7     0       0     0
3-4         109      0    52       161               3-4          0      0      0            0            161       8     0       0     0
4-5         105      0    57       162               4-5          0      0      0            0            162      14     0       0     0
5-6         130      0    73       203               5-6          0      0      0            0            203       3     0       0     0

TOTAL       658      0   414      1072               TOTAL        0      0       0           0          1072      45        0      0       0

