                                                                   TRAFFIC COUNT SUMMARY
INTERSECTION:
North/South GLENROY AVE
East/West           SUNSET BLVD

Day:     WED                          Date:       9/20/06                    Weather:          CLEAR

Hours: 7-10 AM 3-6 PM

School Day:         YES               District:             LOS ANGELES


                      N/B      TIME                 S/B      TIME               E/B     TIME            W/B     TIME

AM PK 15 MIN              12   7:15                    0           0            558     8:45            384      8:45

PM PK 15 MIN              14   4:15                    0           0            357     3:00            547      5:15

AM PK HOUR                34   7:15                    0           0           2103     8:00            1361     8:00

PM PK HOUR                34   3:30                    0           0           1332     3:00            1970     3:30


NORTHBOUND Approach                                         SOUTHBOUND Approach                                TOTAL    XING S/L         XING N/L

 Hours         Lt         Th     Rt      Total               Hours      Lt       Th       Rt    Total            N-S      Ped      Sch     Ped      Sch
7-8            7           0     25         32              7-8         0         0        0       0              32         0       0        0       0
8-9            8           0     14         22              8-9         0         0        0       0              22         0       0        0       0
9-10           3           0     13         16              9-10         0        0        0       0              16         0       0        0       0
3-4            5           0     14         19              3-4         0         0        0       0              19         0       0        0       0
4-5           11           0     18         29              4-5         0         0        0       0              29         0       0        0       0
5-6            5           0     26         31              5-6         0         0        0       0              31         0       0        0       0


TOTAL         39           0    110       149               TOTAL        0        0        0       0             149         0       0        0       0

EASTBOUND Approach                                          WESTBOUND Approach                                 TOTAL    XING W/L         XING E/L

 Hours         Lt         Th     Rt      Total               Hours      Lt       Th       Rt    Total            E-W      Ped      Sch     Ped      Sch
7-8            0     1654         8      1662               7-8        21      1148        0    1169            2831         0       0        0       0
8-9            0     2092        11      2103               8-9        18      1343        0    1361            3464         0       0        0       0
9-10           0     1793         8      1801               9-10       20      1225        0    1245            3046         0       0        0       0
3-4            1     1320        11      1332               3-4        20      1865        0    1885            3217         0       0        0       0
4-5            0     1154         6      1160               4-5        14      1892        0    1906            3066         0       0        0       0
5-6            0     1193        14      1207               5-6        17      1949        0    1966            3173         0       0        0       0


TOTAL          1     9206        58      9265               TOTAL      110     9422        0    9532           18797         0       0        0       0

