ACCUTEK                               TRAFFIC COUNT SUMMARY

STREET:
North/South          HASKELL AVENUE

East/West            HARTSOOK ST./ 101 WB OFF RAMP

Day:    WEDNESDAY                          Date:       2-22-99                 Weather:           CLEAR

Hours: 7-10 AM 3-6 PM                      FILE:       AM001

School Day:          YES                   District:           LOS ANGELES


                       N/B                               S/B                      E/B                     W/B
DUAL-
WHEELED                    0                              0                         0                      0
BIKES                      0                              0                         0                      0
BUSES                      0                              0                         0                      0


                       N/B TIME                          S/B TIME                 E/B TIME                W/B     TIME

AM PK 15 MIN            65     8:00                     103      9:00             12       7:45           198       8:30

PM PK 15 MIN           110      5:00                     81      5:00             35       5:15           132       3:00

AM PK HOUR             199     8:00                     361      9:00             33       9:00           737     8:00

PM PK HOUR             349     5:00                     287      5:00            106       5:00           452       3:00



NORTHBOUND Approach                                            SOUTHBOUND Approach                              TOTAL      XING S/L       XING N/L

Hours       Lt        Th       Rt          Total               Hours     Lt      Th       Rt      Total          N-S       Ped   Sch      Ped   Sch
7-8              1     20      156           177               7-8        31     190        1       222           399       0     0        0     0
8-9              3     24      172           199               8-9        39     268        0       307           506       0     0        0     0
9-10             4     36      125           165               9-10       31     330        0       361           526       0     0        0     0
3-4              2     28      200           230               3-4        56     179        5       240           470       0     0        0     0
4-5              5     45      268           318               4-5        63     200        0       263           581       0     0        0     0
5-6              8     21      320           349               5-6       108     178        1       287           636       0     0        0     0

TOTAL       23         174 1241             1438               TOTAL     328    1345        7      1680          3118        0        0     0        0


EASTBOUND Approach                                             WESTBOUND Approach                               TOTAL      XING W/L       XING E/L

Hours       Lt        Th       Rt          Total               Hours     Lt      Th       Rt      Total          E-W       Ped   Sch      Ped   Sch
7-8              0     27        4             31              7-8       348     135      116       599            630      0     0        0     0
8-9              0     16        4             20              8-9       375     166      196       737            757      0     0        0     0
9-10             0     25        8             33              9-10      402     125      150       677            710      0     0        0     0
3-4              2     63        6             71              3-4       284      77       91       452            523      0     0        0     0
4-5              0     70        8             78              4-5       202      41       83       326            404      0     0        0     0
5-6              0    102        4           106               5-6       207      33       70       310            416      0     0        0     0

TOTAL            2     303     34             339              TOTAL    1818     577      706      3101          3440        0        0     0        0

