ACCUTEK                               TRAFFIC COUNT SUMMARY

STREET:
North/South          HASKELL AVENUE

East/West            FWY 101 EB OFF RAMP

Day:    MONDAY                             Date:       2-22-99                    Weather:         CLEAR

Hours: 7-10 AM 3-6 PM                      FILE:       AM001

School Day:          YES                   District:           LOS ANGELES


                       N/B                               S/B                         E/B                    W/B
DUAL-
WHEELED                    0                              0                           0                      0
BIKES                      0                              0                           0                      0
BUSES                      0                              0                           0                      0


                       N/B TIME                          S/B TIME                    E/B TIME               W/B     TIME

AM PK 15 MIN            65      8:30                     28      8:15                 0    0.00             109       9:15

PM PK 15 MIN            36      4:15                     39      5:00                 0    0.00             78        4:00

AM PK HOUR             224     8:00                      84      8:00                 0    0.00             432       9:00

PM PK HOUR             127      4:00                    147      5:00                 0    0.00             261       4:00



NORTHBOUND Approach                                            SOUTHBOUND Approach                                TOTAL      XING S/L       XING N/L

Hours       Lt        Th       Rt          Total               Hours     Lt         Th       Rt    Total           N-S       Ped   Sch      Ped   Sch
7-8              0    139        0           139               7-8            0      83        0       83           222       0     0        0     0
8-9              0    224        0           224               8-9            0      84        0       84           308       0     0        0     0
9-10             0    180        0           180               9-10           0      55        0       55           235       0     0        0     0
3-4              0    118        0           118               3-4            0      87        0       87           205       0     0        0     0
4-5              0    127        0           127               4-5            0      98        0       98           225       0     0        0     0
5-6              0     91        0             91              5-6            0     147        0     147            238       0     0        0     0

TOTAL            0     879       0            879              TOTAL          0     554        0     554           1433        0        0     0        0


EASTBOUND Approach                                             WESTBOUND Approach                                 TOTAL      XING W/L       XING E/L

Hours       Lt        Th       Rt          Total               Hours     Lt         Th       Rt    Total           E-W       Ped   Sch      Ped   Sch
7-8              0         0     0                 0           7-8       141         16       12     169             169      0     0        0     0
8-9              0         0     0                 0           8-9       225         33       23     281             281      0     0        0     0
9-10             0         0     0                 0           9-10      309         50       73     432             432      0     0        0     0
3-4              0         0     0                 0           3-4       156         63       42     261             261      0     0        0     0
4-5              0         0     0                 0           4-5       164         42       48     254             254      0     0        0     0
5-6              0         0     0                 0           5-6       143         28       44     215             215      0     0        0     0

TOTAL            0         0     0                 0           TOTAL    1138        232      242    1612           1612        0        0     0        0

