                                TRAFFIC COUNT SUMMARY
                                                                                                           City of Los Angeles
STREET:                                                                                    Department of Transportation
North/South       HYPERION AVE                                                                                 (Rev Apr 92)

East/West         SCOTLAND ST

Day:    MO                       Date:       AUGUST 31,1992        Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:          HW


                   N/B                        S/B                    E/B                   W/B
DUAL-
WHEELED            106                        111                     0                     3

BUSES              17                          18                     0                     0


                   N/B TIME                   S/B TIME               E/B TIME              W/B     TIME

AM PK 15 MIN       259   7.45                 432   8.00              0    7.00             9      7.45

PM PK 15 MIN       403   5.15                 298   3.00              0    3.00            10      4.00

AM PK HOUR         833   7.15                1672   7.45              0    7.00            29      8.45

PM PK HOUR 1602          5.00                1040   4.45              0    3.00            32      3.45




NORTHBOUND Approach                                 SOUTHBOUND Approach                          TOTAL     XING S/L        XING N/L

Hours       Lt   Th      Rt      Total              Hours   Lt   Th        Rt     Total           N-S       Ped    Sch     Ped   Sch
7-8           0 776        9       785              7-8     18 1361          0     1379           2164       0      0       0     0
8-9           0 584      10        594              8-9       9 1615         0     1624           2218       0      0       1     0
9-10          0 539      12        551              9-10    14 999           0     1013           1564       1      0       0     0
3-4           0 1137       7      1144              3-4     26 992           0     1018           2162       1      0       0     0
4-5           0 1320     12       1332              4-5     19 912           0      931           2263       0      0       0     0
5-6           0 1584     18       1602              5-6     17 1004          0     1021           2623       0      0       0     0

TOTAL         0 5940      68      6008              TOTAL   103 6883          0    6986           12994       2       0      1        0


EASTBOUND Approach                                  WESTBOUND Approach                           TOTAL     XING W/L        XING E/L

Hours       Lt     Th    Rt      Total              Hours   Lt      Th     Rt     Total           E-W       Ped    Sch     Ped   Sch
7-8           0      0     0             0          7-8       4       0    17         21            21       0      0       5     1
8-9           0      0     0             0          8-9       2       0    12         14            14       0      0       7     3
9-10          0      0     0             0          9-10    11        0    16         27            27       0      0       5     0
3-4           0      0     0             0          3-4       3       0    15         18            18       0      0       5     4
4-5           0      0     0             0          4-5       4       0    23         27            27       0      0       2     1
5-6           0      0     0             0          5-6       4       0    19         23            23       0      0       6     1

TOTAL         0     0      0             0          TOTAL     28      0    102      130            130        0       0     30    10

