                                TRAFFIC COUNT SUMMARY
                                                                                                           City of Los Angeles
STREET:                                                                                    Department of Transportation
North/South       LAUREL CYN BL                                                                                (Rev Apr 92)

East/West         TONOPAH ST/DRWY

Day:    WE                       Date:       OCT 7,1992           Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:          EAST VALLEY


                   N/B                        S/B                   E/B                    W/B
DUAL-
WHEELED            135                        166                    1                     112

BUSES               18                         17                    0                      0


                   N/B TIME                   S/B TIME              E/B TIME               W/B     TIME

AM PK 15 MIN       166   8.30                 275   8.45            23    8.30             29      7.15

PM PK 15 MIN       290   3.15                 167   3.15            16    3.30             15      3.00

AM PK HOUR         613   8.15                 992   8.15            72    8.15             89      7.00

PM PK HOUR 1041          3.15                 626   3.00            52    4.15             41      3.00




NORTHBOUND Approach                                 SOUTHBOUND Approach                          TOTAL     XING S/L        XING N/L

Hours       Lt     Th    Rt      Total              Hours   Lt     Th     Rt      Total           N-S       Ped    Sch     Ped   Sch
7-8           2    287   43        332              7-8     17     443      7       467            799       1      0       0     0
8-9           6    523   26        555              8-9       4    896    11        911           1466       0      2       0     0
9-10          4    351   29        384              9-10    11     624    18        653           1037       0      0       0     0
3-4         47     966   22       1035              3-4     15     588    23        626           1661       0      0       0     0
4-5         37     762   12        811              4-5       3    521    19        543           1354       1      0       0     0
5-6         25     483     5       513              5-6       0    469    24        493           1006       0      0       0     0

TOTAL       121 3372     137      3630              TOTAL    50 3541      102      3693           7323        2       2      0        0


EASTBOUND Approach                                  WESTBOUND Approach                           TOTAL     XING W/L        XING E/L

Hours       Lt     Th    Rt      Total              Hours   Lt     Th     Rt      Total           E-W       Ped    Sch     Ped   Sch
7-8         16       0   23          39             7-8     65       0    24          89            128      4      0       1     0
8-9         17       0   51          68             8-9     15       0      4         19             87      4      5       2     3
9-10        15       0   21          36             9-10    22       0      8         30             66      2      0       0     0
3-4         22       0   28          50             3-4     28       0    13          41             91      2      0       1     0
4-5         12       0   32          44             4-5     15       1      4         20             64      4      0       1     0
5-6         23       1   26          50             5-6       9      0      9         18             68      2      0       0     0

TOTAL       105     1    181        287             TOTAL   154      1       62     217            504       18       5      5        3

