                                 TRAFFIC COUNT SUMMARY

STREET:
North/South               SAN FERNANDO RD

East/West                 ROXFORD ST

Day:    TUESDAY                        Date:       3-19-1996                Weather:         SUNNY

Hours: 7-10 AM 3-6 PM

School Day:       YES                  District:           EAST VALLEY


                    N/B                              S/B                       E/B                    W/B
DUAL-
WHEELED              48                              42                       178                      86
BIKES                 5                               7                         3                       3
BUSES                23                               3                        20                      49


                    N/B TIME                         S/B TIME                  E/B TIME               W/B TIME

AM PK 15 MIN         49 7:30                         63 9:45                   80 8:30                 74 7:30

PM PK 15 MIN        114 4:30                         48 3:15                  113 3:00                132 5:00

AM PK HOUR          182 7:00                        171 9:00                  289 8:00                258 7:00

PM PK HOUR          339 5:00                        176 7:00                  411 3:00                396 5:00




NORTHBOUND Approach                                        SOUTHBOUND Approach                              TOTAL    XING S/L    XING N/L

Hours       Lt     Th      Rt          Total               Hours     Lt       Th       Rt    Total           N-S     Ped   Sch   Ped   Sch
7-8          56     48      78           182               7-8        10       49       21       80           262    19    32     0     0
8-9          20     56      17             93              8-9        40       24       54     118            211     7     0     4     0
9-10         15     49      40           104               9-10       54       31       86     171            275     2     0     2     0
3-4         132    100      36           268               3-4        63       88       25     176            444     0     0     0     0
4-5         121    152      44           317               4-5        56       76       13     145            462     3     0     0     0
5-6         120    182      37           339               5-6        57       57       14     128            467     3     0     2     0

TOTAL       464     587    252          1303               TOTAL     280      325      213     818           2121     34    32     8        0


EASTBOUND Approach                                         WESTBOUND Approach                               TOTAL    XING W/L    XING E/L

Hours       Lt     Th      Rt          Total               Hours     Lt       Th       Rt    Total           E-W     Ped   Sch   Ped   Sch
7-8           1    213      29           243               7-8        58      193        7     258             501    9    13     7     6
8-9          42    235      12           289               8-9          7     189       14     210             499    0     0     1     0
9-10         27    233      19           279               9-10         4     173       10     187             466    0     0     1     0
3-4          11    318      82           411               3-4        52      270       34     356             767    0     0     0     0
4-5          29    280      45           354               4-5        49      259       39     347             701    1     0     8     0
5-6          30    258      34           322               5-6        54      293       49     396             718    0     0     4     0

TOTAL       140    1537    221          1898               TOTAL     224     1377      153    1754           3652     10    13    21        6

