                                 TRAFFIC COUNT SUMMARY
                                                                                                              City of Los Angeles
STREET:                                                                                       Department of Transportation
North/South       FIGUEROA ST                                                                                     (Rev Apr 92)

East/West         57TH ST

Day:    TH                        Date:       AUGUST 27,1992         Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES             District:          CENTRAL


                   N/B                         S/B                     E/B                    W/B
DUAL-
WHEELED            268                         170                      4                      8

BUSES               52                          44                      0                      0


                   N/B TIME                    S/B TIME                E/B TIME               W/B     TIME

AM PK 15 MIN       546   7.45                  152   7.45              12    8.45              8      9.00

PM PK 15 MIN       241   4.15                  469   5.15              10    4.30             10      4.00

AM PK HOUR 2014          7.30                  551   7.45              33    8.45             24      8.30

PM PK HOUR         873   3.30                 1732   4.45              30    3.45             26      3.15




NORTHBOUND Approach                                  SOUTHBOUND Approach                            TOTAL     XING S/L        XING N/L

Hours       Lt   Th      Rt       Total              Hours     Lt   Th       Rt      Total           N-S       Ped    Sch     Ped   Sch
7-8           3 1934       6       1943              7-8         2 504         8       514           2457       0      0       6     0
8-9           7 1601       7       1615              8-9         1 503         9       513           2128       0      0      11     0
9-10          6 934      11         951              9-10        2 487         7       496           1447       0      0       9     0
3-4         11 760         9        780              3-4         6 1286      17       1309           2089       0      0       0     0
4-5         13 816         5        834              4-5         6 1557      22       1585           2419       1      0       5     0
5-6         13 704       13         730              5-6         3 1711      14       1728           2458       0      0      13     1

TOTAL       53 6749         51     6853              TOTAL     20 6048          77    6145           12998       1       0     44        1


EASTBOUND Approach                                   WESTBOUND Approach                             TOTAL     XING W/L        XING E/L

Hours       Lt     Th    Rt       Total              Hours     Lt     Th     Rt      Total           E-W       Ped    Sch     Ped   Sch
7-8         14       1     5          20             7-8         7      0    11          18            38      18      0      10     4
8-9           7      1   17           25             8-9         8      1      4         13            38      13      1       5     0
9-10        12       1   16           29             9-10      14       3      5         22            51      10      0      11     0
3-4           5      1   16           22             3-4       11       1      7         19            41      10      5      18     9
4-5           8      1   19           28             4-5       13       1      9         23            51      14      0      10     4
5-6           9      0   10           19             5-6       10       2    10          22            41      29      2       9     3

TOTAL       55       5      83       143             TOTAL     63       8       46     117            260       94       8     63    20

