ACCUTEK                           TRAFFIC COUNT SUMMARY

STREET:
North/South       COPA DE ORO RD. / HILGARD AVE.

East/West         SUNSET BLVD.

Day:    TUESDAY                        Date:       12-17-1996              Weather:          CLEAR

Hours: 7-10 AM 3-6 PM                  FILE:       AM011

School Day:       YES                  District:           LOS ANGELES


                    N/B                              S/B                      E/B                      W/B
DUAL-
WHEELED              12                              12                       56                        50
BIKES                 3                               1                        0                         5
BUSES                65                               5                       39                        57


                    N/B TIME                         S/B TIME                 E/B TIME                 W/B     TIME

AM PK 15 MIN         69    7:45                      71     8:45             434      8:45             456      7:45

PM PK 15 MIN        230    5:00                      41     3:30             332      3:00             492      5:45

AM PK HOUR          232    8:00                     181     8:00            1629      8:00            1547      8:00

PM PK HOUR          828    5:00                     143     3:00            1233      3:00            1751      5:00




NORTHBOUND Approach                                        SOUTHBOUND Approach                               TOTAL     XING S/L       XING N/L

Hours       Lt     Th      Rt          Total               Hours     Lt      Th       Rt     Total            N-S      Ped    Sch     Ped    Sch
7-8          75     33      40           148               7-8        33      58       30      121             269      0      0       0      0
8-9          97     39      96           232               8-9        38     121       22      181             413      0      0       0      0
9-10         83     30      87           200               9-10       27     108       23      158             358      0      0       2      1
3-4         240     60     313           613               3-4        57      58       28      143             756      1      0       3      0
4-5         256     59     405           720               4-5        38      44       32      114             834      0      3       9      2
5-6         314     85     429           828               5-6        30      32       14        76            904      0      0       5      1

TOTAL   1065        306   1370          2741               TOTAL     223     421      149      793             3534      1        3    19        4


EASTBOUND Approach                                         WESTBOUND Approach                                TOTAL     XING W/L       XING E/L

Hours       Lt      Th    Rt           Total               Hours     Lt      Th       Rt     Total            E-W      Ped   Sch      Ped    Sch
7-8         161     962   129           1252               7-8       171     946       91     1208            2460      8     0        6      0
8-9          16    1392   221           1629               8-9       352    1140       55     1547            3176     10     5        0      0
9-10         18    1259   199           1476               9-10      362     986       29     1377            2853      3     3        0      0
3-4          17    1069   147           1233               3-4       194    1271       14     1479            2712      4     1        0      0
4-5          12    1010   148           1170               4-5       164    1186       17     1367            2537      9     5        0      0
5-6          24    1001   112           1137               5-6       213    1526       12     1751            2888      4     0        0      0

TOTAL       248    6693   956           7897               TOTAL    1456    7055      218     8729            16626     38    14        6        0

