                                  TRAFFIC COUNT SUMMARY
                                                                                                            City of Los Angeles
STREET:                                                                                     Department of Transportation
North/South       FIGUEROA ST                                                                                   (Rev Apr 92)

East/West         AVE 60

Day:    FR                         Date:       SEP 18,1992           Weather:       CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES              District:           CENTRAL


                   N/B                           S/B                   E/B                  W/B
DUAL-
WHEELED            105                          157                     0                   60

BUSES               62                           60                     0                    0


                   N/B TIME                      S/B TIME              E/B TIME             W/B     TIME

AM PK 15 MIN       143     7.45                 302    7.45             0    7.00           144     7.45

PM PK 15 MIN       249     5.30                 258    4.45             0    3.00           131     4.00

AM PK HOUR         510     7.30                1099    7.30             0    7.00           457     7.30

PM PK HOUR         954     5.00                 984    4.00             0    3.00           467     5.00




NORTHBOUND Approach                                    SOUTHBOUND Approach                        TOTAL     XING S/L        XING N/L

Hours       Lt     Th      Rt      Total               Hours    Lt    Th     Rt     Total          N-S       Ped    Sch     Ped   Sch
7-8           0    351      86       437               7-8     330    603      0      933          1370       3      6      10     3
8-9           0    374      85       459               8-9     287    655      0      942          1401       6      0      24     4
9-10          0    407      84       491               9-10    195    460      0      655          1146       2      0      31     5
3-4           0    635     133       768               3-4     295    617      0      912          1680       8     15      23    16
4-5           0    710     150       860               4-5     272    712      0      984          1844      16      1      28    17
5-6           0    810     144       954               5-6     287    634      0      921          1875       3      4      16     5

TOTAL         0 3287       682      3969               TOTAL 1666 3681          0    5347          9316       38    26      132    50


EASTBOUND Approach                                     WESTBOUND Approach                         TOTAL     XING W/L        XING E/L

Hours       Lt     Th      Rt      Total               Hours    Lt    Th     Rt     Total          E-W       Ped    Sch     Ped   Sch
7-8           0      0       0             0           7-8     110      0    273      383            383      0      0      25    14
8-9           0      0       0             0           8-9     122      0    231      353            353      0      0      31     0
9-10          0      0       0             0           9-10     87      0    206      293            293      0      0      19     6
3-4           0      0       0             0           3-4     126      0    290      416            416      0      0      34    79
4-5           0      0       0             0           4-5     134      0    304      438            438      0      0      36    15
5-6           0      0       0             0           5-6     148      0    319      467            467      0      0      18     6

TOTAL         0      0       0             0           TOTAL   727      0 1623       2350          2350        0       0    163   120

