                                                                   TRAFFIC COUNT SUMMARY
INTERSECTION:
North/South SEPULVEDA BLVD
East/West           MONTANA AVE

Day:     THU                          Date:       9/21/06                   Weather:          CLEAR

Hours: 7-10 AM 3-6 PM

School Day:         YES               District:             LOS ANGELES


                      N/B      TIME                 S/B      TIME              E/B     TIME            W/B    TIME

AM PK 15 MIN          206      8:15                 482       8:45             105     9:00             76     8:00

PM PK 15 MIN          469      5:00                 138       5:45              68     5:15            209     5:15

AM PK HOUR            804      8:00                1827       8:15             371     8:15            256     7:15

PM PK HOUR           1812      5:00                 463       5:00             219     5:00            758     5:00


NORTHBOUND Approach                                         SOUTHBOUND Approach                              TOTAL    XING S/L         XING N/L

 Hours         Lt         Th     Rt      Total               Hours     Lt       Th       Rt    Total           N-S      Ped      Sch     Ped      Sch
7-8            59     217       278       554               7-8       379     1054       20    1453           2007         0       0        0       0
8-9            75     334       395       804               8-9       362     1394       11    1767           2571         0       0        0       0
9-10           68     301       339       708               9-10      364     1286       22    1672           2380         0       0        0       0
3-4            93    1225       158      1476               3-4       59       340        7     406           1882         0       0        0       0
4-5           100    1459       122      1681               4-5       67       349       12     428           2109         0       0        0       0
5-6           117    1552       143      1812               5-6       59       396        8     463           2275         0       0        0       0


TOTAL         512    5088      1435      7035               TOTAL    1290     4819       80    6189          13224         0       0        0       0

EASTBOUND Approach                                          WESTBOUND Approach                               TOTAL    XING W/L         XING E/L

 Hours         Lt         Th     Rt      Total               Hours     Lt       Th       Rt    Total           E-W      Ped      Sch     Ped      Sch
7-8            20     200        67       287               7-8        73       63       87     223            510         0       0        0       0
8-9            13     254        93       360               8-9        89       47      100     236            596         0       0        0       0
9-10           5      228        96       329               9-10      77        50      105     232            561         0       0        0       0
3-4            14         93     80       187               3-4       134      118      419     671            858         0       0        0       0
4-5            10         74     63       147               4-5       139      148      375     662            809         0       0        0       0
5-6            9      127        83       219               5-6       163      174      421     758            977         0       0        0       0


TOTAL          71     976       482      1529               TOTAL     675      600     1507    2782           4311         0       0        0       0

