                                 TRAFFIC COUNT SUMMARY

STREET:                                                                    CONTRACT COUNT
North/South               WESTERN AVE

East/West                 ADAMS BLVD

Day:    WEDNESDAY                      Date:       4-24-1996               Weather:         SUNNY

Hours: 7-10 AM 3-6 PM

School Day:       YES                  District:           HOLLYWOOD


                    N/B                              S/B                      E/B                   W/B
DUAL-
WHEELED              57                              70                       29                     28
BIKES                19                              13                       12                     14
BUSES               107                             157                      109                     77


                    N/B TIME                         S/B TIME                 E/B TIME              W/B     TIME

AM PK 15 MIN        294 7:30                        173 7:30                 233 7:45               148 7:45

PM PK 15 MIN        227 5:00                        289 5:15                 190 5:30               233 5:15

AM PK HOUR          951 7:00                        618 7:00                 637 8:00               510 7:00

PM PK HOUR          826 4:00                       1075 5:00                 656 5:00               796 5:00



NORTHBOUND Approach                                        SOUTHBOUND Approach                            TOTAL    XING S/L    XING N/L

Hours       Lt     Th      Rt          Total               Hours     Lt      Th       Rt    Total          N-S     Ped   Sch   Ped   Sch
7-8         102    801      48           951               7-8        88     475       55     618          1569    14    12    38     4
8-9          80    775      68           923               8-9        89     461       53     603          1526    30     3    41     0
9-10         60    592      48           700               9-10       74     424       60     558          1258     5     0    22     0
3-4          80    561      57           698               3-4       134     620       60     814          1512    75    32    24    10
4-5          91    683      52           826               4-5       148     785       68    1001          1827    56    23    44     2
5-6          77    627      62           766               5-6       134     883       58    1075          1841    42     0    31     0

TOTAL       490    4039    335          4864               TOTAL     667    3648      354    4669          9533    222    70   200    16


EASTBOUND Approach                                         WESTBOUND Approach                             TOTAL    XING W/L    XING E/L

Hours       Lt     Th      Rt          Total               Hours     Lt      Th       Rt    Total          E-W     Ped   Sch   Ped   Sch
7-8          55    497      46           598               7-8        48     400       62     510          1108    31    23    16    22
8-9          71    525      41           637               8-9        41     322       65     428          1065    45     0    19     1
9-10         50    306      40           396               9-10       54     272       59     385            781   34     0    22     0
3-4          80    407      69           556               3-4        63     352       81     496          1052    44    16    40    32
4-5          62    462      71           595               4-5        75     480       72     627          1222    56     4    40    18
5-6          70    524      62           656               5-6       107     625       64     796          1452    39     1    35     0

TOTAL       388    2721    329          3438               TOTAL     388    2451      403    3242          6680    249    44   172    73

