                                 TRAFFIC COUNT SUMMARY

STREET:
North/South               SAN FERNANDO RD

East/West                 VAN NUYS BLVD

Day:    THURSDAY                      Date:       3-14-1996               Weather:         CLOUDY

Hours: 7-10 AM 3-6 PM

School Day:       YES                 District:           EAST VALLEY


                    N/B                             S/B                      E/B                    W/B
DUAL-
WHEELED             223                            211                      152                     170
BIKES                41                             58                       30                      18
BUSES                49                             51                       58                      49


                    N/B TIME                        S/B TIME                 E/B TIME               W/B TIME

AM PK 15 MIN        157 7:30                       214 7:30                 182 7:45                204 7:30

PM PK 15 MIN        245 5:15                       227 3:45                 259 5:45                273 3:30

AM PK HOUR          529 7:00                       775 7:00                 619 7:00                727 7:00

PM PK HOUR          971 5:00                       797 7:00                1024 5:00                924 4:00



NORTHBOUND Approach                                       SOUTHBOUND Approach                             TOTAL    XING S/L       XING N/L

Hours       Lt     Th      Rt         Total               Hours     Lt      Th       Rt    Total           N-S     Ped   Sch      Ped   Sch
7-8          60    391      78          529               7-8        82     645       48     775           1304     58    0       63     0
8-9          32    221      37          290               8-9        51     334       63     448            738     49    0       58     0
9-10         64    312      56          432               9-10       57     323      103     483            915     76    0       43     0
3-4          96    534      94          724               3-4       125     491      181     797           1521     85    6       60     9
4-5         108    607     107          822               4-5       108     512      168     788           1610    116    1       44     0
5-6         122    729     120          971               5-6       109     454      169     732           1703    118    0       38     0

TOTAL       482    2794    492         3768               TOTAL     532    2759      732    4023           7791    502        7   306        9


EASTBOUND Approach                                        WESTBOUND Approach                              TOTAL    XING W/L       XING E/L

Hours       Lt     Th      Rt         Total               Hours     Lt      Th       Rt    Total           E-W     Ped   Sch      Ped   Sch
7-8          73    472      74          619               7-8        80     540      107     727           1346    15     4        35    1
8-9          95    309      67          471               8-9        46     328       57     431             902   22     1        28    0
9-10        118    395      61          574               9-10       69     408       61     538           1112    18     1        30    1
3-4         123    616      62          801               3-4        93     708       95     896           1697     6     0       105    4
4-5         152    716      62          930               4-5       106     724       94     924           1854     4     0       108    0
5-6         156    800      68         1024               5-6        76     655       95     826           1850     6     0        82    0

TOTAL       717    3308    394         4419               TOTAL     470    3363      509    4342           8761     71        6   388        6

