ACCUTEK                           TRAFFIC COUNT SUMMARY

STREET:
North/South       HAYVENHURST

East/West         MAGNOLIA BLVD.

Day:    TUESDAY                        Date:       2-23-99                    Weather:          CLEAR

Hours: 7-10 AM 3-6 PM                  FILE:       #####

School Day:       YES                  District:           LOS ANGELES


                    N/B                              S/B                         E/B                        W/B
DUAL-
WHEELED                 0                             0                              0                       0
BIKES                   0                             0                              0                       0
BUSES                   0                             0                              0                       0


                    N/B TIME                         S/B TIME                    E/B TIME                   W/B     TIME

AM PK 15 MIN        185      9:45                   589      9:00               284      8:15                0      0.00

PM PK 15 MIN        498      5:15                   287      3:45               153      5:15                0      0.00

AM PK HOUR          599      9:00                  2024      9:00               997      8:00                0      0.00

PM PK HOUR         1810      5:00                  1162      3:00               536      5:00                0      0.00



NORTHBOUND Approach                                        SOUTHBOUND Approach                                    TOTAL    XING S/L       XING N/L

Hours       Lt      Th      Rt         Total               Hours     Lt         Th       Rt     Total              N-S     Ped   Sch      Ped   Sch
7-8          44     187     258          489               7-8       364        965      173     1502              1991     0     0        0     0
8-9          57     321     214          592               8-9       182       1604      238     2024              2616     0     0        0     0
9-10         59     289     251          599               9-10      123       1461      219     1803              2402     0     0        0     0
3-4         144     562     449         1155               3-4        89        939      145     1162              2317     0     0        0     0
4-5         166     741     429         1336               4-5        59        730      177      966              2302     0     0        0     0
5-6         235    1074     501         1810               5-6        43        681      196      920              2730     0     0        0     0

TOTAL       705    3174 2102            5981               TOTAL     849       6380 1148         8377              14358     0        0     0        0


EASTBOUND Approach                                         WESTBOUND Approach                                     TOTAL    XING W/L       XING E/L

Hours       Lt     Th       Rt         Total               Hours     Lt         Th       Rt     Total              E-W     Ped   Sch      Ped   Sch
7-8          53    363      302          718               7-8            0          0     0            0            718    0     0        0     0
8-9          92    304      601          997               8-9            0          0     0            0            997    0     0        0     0
9-10         75    183      299          557               9-10           0          0     0            0            557    0     0        0     0
3-4          64    205      122          391               3-4            0          0     0            0            391    0     0        0     0
4-5          85    193      105          383               4-5            0          0     0            0            383    0     0        0     0
5-6         140    286      110          536               5-6            0          0     0            0            536    0     0        0     0

TOTAL       509    1534 1539            3582               TOTAL          0          0    0             0          3582      0        0     0        0

