                                TRAFFIC COUNT SUMMARY
                                                                                                               City of Los Angeles
STREET:                                                                                        Department of Transportation
North/South       FIGUEROA ST                                                                                      (Rev Apr 92)

East/West         BOSTON ST

Day:    WE                       Date:       SEP 23,1992             Weather:        CLEAR

Hours: 7-10 AM 3-6 PM

School Day:       YES            District:           CENTRAL


                   N/B                         S/B                     E/B                     W/B
DUAL-
WHEELED            100                         73                       6                       2

BUSES               0                           0                       0                       0


                   N/B TIME                    S/B TIME                E/B TIME                W/B     TIME

AM PK 15 MIN       130   7.15                 222    8.15              26    7.30              15      7.30

PM PK 15 MIN       536   5.30                  91    4.15               3    4.45               7      4.45

AM PK HOUR         470   7.15                 851    8.00              79    7.30              45      7.15

PM PK HOUR 2040          5.00                 299    4.00               7    3.15              19      4.00




NORTHBOUND Approach                                  SOUTHBOUND Approach                             TOTAL     XING S/L        XING N/L

Hours       Lt  Th       Rt      Total               Hours     Lt     Th     Rt      Total            N-S       Ped    Sch     Ped   Sch
7-8         12 417        35       464               7-8         8    679      3       690            1154       0      0       1     0
8-9         13 311        18       342               8-9         7    838      6       851            1193       1      0       3     0
9-10          8 296       25       329               9-10        8    520      5       533             862       0      0       3     0
3-4         12 830        14       856               3-4         9    222      4       235            1091       1      0       0     0
4-5         23 1367       42      1432               4-5         3    288      8       299            1731       1      0       1     0
5-6         81 1792      167      2040               5-6         4    265      8       277            2317       0      0       0     0

TOTAL       149 5013     301      5463               TOTAL     39 2812          34    2885            8348        3       0      8        0


EASTBOUND Approach                                   WESTBOUND Approach                              TOTAL     XING W/L        XING E/L

Hours       Lt     Th    Rt      Total               Hours     Lt     Th     Rt      Total            E-W       Ped    Sch     Ped   Sch
7-8           4      1   60          65              7-8       25       0    11          36             101     50      0       6     0
8-9           4      0   49          53              8-9       38       0      6         44              97     24      2       8     0
9-10          1      0   30          31              9-10      10       4    14          28              59     11      0       0     0
3-4           1      0     5           6             3-4         4      1      8         13              19     19      0       2     7
4-5           1      1     5           7             4-5         8      1    10          19              26     31      0       6     1
5-6           0      1     3           4             5-6         0      0      3           3              7     12      0       5     0

TOTAL       11      3    152        166              TOTAL     85       6       52      143            309     147        2     27        8

