                                 TRAFFIC COUNT SUMMARY

STREET:                                                           CONTRACT COUNT
North/South               VERMONT AVE

East/West                 OLYMPIC BLVD

Day:    THURSDAY                      Date:       4-25-1996                  Weather:         SUNNY

Hours: 7-10 AM 3-6 PM

School Day:       YES                 District:           HOLLYWOOD


                    N/B                             S/B                         E/B                    W/B
DUAL-
WHEELED             157                            139                         123                     126
BIKES                19                             19                          40                      10
BUSES               170                            193                         171                     155


                    N/B TIME                        S/B TIME                    E/B TIME               W/B     TIME

AM PK 15 MIN        329 8:45                       303 7:30                    590 8:30                292 8:30

PM PK 15 MIN        347 5:15                       351 5:00                    398 4:45                464 5:15

AM PK HOUR         1228 8:00                      1096 7:00                   2134 8:00               1026 8:00

PM PK HOUR         1310 5:00                      1344 5:00                   1452 5:00               1843 5:00



NORTHBOUND Approach                                       SOUTHBOUND Approach                                TOTAL    XING S/L     XING N/L

Hours       Lt      Th     Rt         Total               Hours       Lt       Th       Rt    Total           N-S     Ped    Sch   Ped    Sch
7-8          41    1067     34         1142               7-8          54      977       65    1096           2238    123   138     82    99
8-9          56    1122     50         1228               8-9          66      908       85    1059           2287     64     2     47     5
9-10         52    1052     35         1139               9-10         71      841      100    1012           2151     91     0     58    11
3-4          56     848     58          962               3-4         105     1020      170    1295           2257    104    53    115   109
4-5          53    1033     50         1136               4-5         119     1030      158    1307           2443     93    20     73     0
5-6          82    1167     61         1310               5-6          83     1093      168    1344           2654    113     1     66     0

TOTAL       340    6289    288           6917             TOTAL       498     5869      746    7113           14030   588   214    441   224


EASTBOUND Approach                                        WESTBOUND Approach                                 TOTAL    XING W/L     XING E/L

Hours       Lt      Th     Rt         Total               Hours        Lt      Th       Rt    Total           E-W     Ped   Sch    Ped    Sch
7-8         112    1417    102         1631               7-8           30     834       43     907            2538   110   78      95   209
8-9         128    1961     45         2134               8-9           27     930       69    1026            3160    78    5      32     2
9-10        105    1361     59         1525               9-10          44     736       85     865            2390    62    1      52     1
3-4         111     940     87         1138               3-4           51     999      100    1150            2288    68   63     214    75
4-5         130    1169     78         1377               4-5           61    1233      121    1415            2792    76   16     185    27
5-6          82    1283     87         1452               5-6           49    1671      123    1843            3295   104    0     166     0

TOTAL       668    8131    458           9257             TOTAL       262     6403      541    7206           16463   498   163    744   314

