source,name,misc,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,N-Ped,E-Ped,S-Ped,W-Ped,N-Bike,E-Bike,S-Bike,W-Bike,lat,lon
misc/121214 ColusaNTMP_201301301417309080.txt,COLUSA AVENUE / EUREKA AVENUE,x,TUESDAY APRIL 24 2012,30:30-30:45,0,11,0,0,0,0,0,10,14,20,0,0,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-16:15,44,7,34,26,232,1,9,4,7,7,285,1,0,0,0,1,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-17:00,177,26,160,108,1041,24,27,10,25,14,1160,12,2,0,0,12,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-16:30,61,4,35,14,224,4,10,3,6,4,299,4,1,0,0,4,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-17:15,151,23,171,136,1186,26,26,9,33,9,1184,12,2,0,0,12,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-16:45,56,8,40,16,238,7,3,1,6,0,243,5,0,0,0,5,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-17:30,97,20,182,174,1386,36,24,8,36,10,1212,9,2,1,0,9,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:00,16,7,51,52,347,12,5,2,6,3,333,2,1,0,0,2,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:45,52,18,180,207,1558,42,27,8,33,12,1327,5,3,1,0,5,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-17:15,18,4,45,54,377,3,8,3,15,2,309,1,0,0,0,1,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-18:00,38,12,154,216,1591,40,30,10,38,12,1293,3,2,1,0,3,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,17:15-17:30,7,1,46,52,424,14,8,2,9,5,327,1,1,1,0,1,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,17:30-17:45,11,6,38,49,410,13,6,1,3,2,358,1,1,0,0,1,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,McDUFF PARKWAY / SR 54,x,THURSDAY FEBRUARY 20 2014,17:45-18:00,2,1,25,61,380,10,8,4,11,3,299,0,0,0,0,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-16:15,14,0,1,8,250,5,1,0,0,3,291,4,1,1,1,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-17:00,48,0,4,11,1149,14,13,0,1,6,1314,9,1,1,2,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-16:30,18,0,0,0,221,2,0,0,0,2,357,1,0,0,0,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-17:15,49,0,4,8,1339,14,15,0,3,4,1387,15,0,0,3,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-16:45,6,0,1,0,255,2,6,0,0,0,291,0,0,0,1,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-17:30,46,0,5,10,1603,19,21,0,3,2,1414,14,0,0,3,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:00,10,0,2,3,423,5,6,0,1,1,375,4,0,0,0,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:45,54,0,5,15,1801,18,17,0,3,2,1509,24,0,0,2,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-17:15,15,0,1,5,440,5,3,0,2,1,364,10,0,0,2,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-18:00,52,1,4,15,1821,18,12,0,5,2,1524,27,0,0,2,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,17:15-17:30,15,0,1,2,485,7,6,0,0,0,384,0,0,0,0,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,17:30-17:45,14,0,1,5,453,1,2,0,0,0,386,10,0,0,0,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,LINE CREEK DRIVE / SR 54,x,THURSDAY FEBRUARY 20 2014,17:45-18:00,8,1,1,3,443,5,1,0,3,1,390,7,0,0,0,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-16:15,22,1,65,88,268,24,8,2,9,3,293,21,0,0,0,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-17:00,63,11,214,280,1063,92,49,12,52,26,1232,97,1,2,1,5,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-16:30,11,4,52,82,202,23,14,2,10,12,326,31,0,0,0,3,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-17:15,53,14,217,247,1207,82,51,13,69,33,1277,98,1,3,1,5,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-16:45,19,4,69,57,210,25,15,2,12,6,283,23,1,1,1,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-17:30,60,12,199,206,1441,66,48,18,104,33,1292,96,1,3,2,2,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:00,11,2,28,53,383,20,12,6,21,5,330,22,0,1,0,2,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:45,62,11,181,193,1653,46,45,19,121,41,1353,96,0,2,1,2,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-17:15,12,4,68,55,412,14,10,3,26,10,338,22,0,1,0,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-18:00,63,13,206,194,1669,37,46,22,122,45,1361,108,0,1,1,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,17:15-17:30,18,2,34,41,436,7,11,7,45,12,341,29,0,0,1,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,17:30-17:45,21,3,51,44,422,5,12,3,29,14,344,23,0,0,0,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,PLANTERRA WAY / SR 54,x,THURSDAY FEBRUARY 20 2014,17:45-18:00,12,4,53,54,399,11,13,9,22,9,338,34,0,0,0,0,0,0,0,0,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:00-07:15,0,0,2,2,157,3,4,0,20,41,303,2,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:00-08:00,0,2,6,14,840,30,4,0,72,265,1678,4,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:15-07:30,0,0,0,2,190,2,0,0,13,45,453,1,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:15-08:15,0,2,6,21,942,38,8,0,76,295,1783,2,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:30-07:45,0,0,2,3,270,9,0,0,16,72,452,0,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:30-08:30,0,2,11,22,991,46,17,1,80,300,1738,4,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:45-08:00,0,2,2,7,223,16,0,0,23,107,470,1,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:45-08:45,0,2,14,30,939,46,22,1,83,265,1686,5,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,08:00-08:15,0,0,2,9,259,11,8,0,24,71,408,0,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,08:00-09:00,0,1,14,30,947,36,28,2,86,207,1564,8,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,08:15-08:30,0,0,5,3,239,10,9,1,17,50,408,3,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,08:30-08:45,0,0,5,11,218,9,5,0,19,37,400,1,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,08:45-09:00,0,1,2,7,231,6,6,1,26,49,348,4,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-16:15,4,4,27,25,368,5,9,8,47,32,311,4,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-17:00,14,17,77,50,1422,11,18,37,210,138,1340,15,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-16:30,6,3,22,7,311,1,1,12,42,41,361,2,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-17:15,12,19,75,29,1502,13,11,41,216,137,1412,15,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-16:45,3,7,17,8,324,1,2,8,54,34,315,3,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-17:30,14,20,77,29,1626,18,12,36,221,125,1412,20,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:00,1,3,11,10,419,4,6,9,67,31,353,6,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:45,17,18,82,30,1774,21,11,39,200,119,1466,20,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-17:15,2,6,25,4,448,7,2,12,53,31,383,4,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-18:00,25,19,87,26,1791,18,8,46,183,102,1416,17,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,17:15-17:30,8,4,24,7,435,6,2,7,47,29,361,7,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,17:30-17:45,6,5,22,9,472,4,1,11,33,28,369,3,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,HUDLESTONE ROAD / SR 54,x,THURSDAY FEBRUARY 20 2014,17:45-18:00,9,4,16,6,436,1,3,16,50,14,303,3,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:00-07:15,0,0,2,1,150,5,4,0,1,4,351,7,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:00-08:00,7,1,3,7,855,28,13,1,19,35,1627,31,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:15-07:30,1,0,0,0,215,3,3,0,9,9,436,9,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:15-08:15,8,1,1,8,960,32,13,2,27,47,1698,27,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:30-07:45,3,1,1,4,242,11,3,1,1,10,411,10,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:30-08:30,8,1,6,11,993,48,15,3,26,49,1681,23,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:45-08:00,3,0,0,2,248,9,3,0,8,12,429,5,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,07:45-08:45,9,0,7,12,1001,55,16,7,37,54,1673,19,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,08:00-08:15,1,0,0,2,255,9,4,1,9,16,422,3,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,08:00-09:00,8,0,8,16,968,57,22,8,39,64,1573,17,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,08:15-08:30,1,0,5,3,248,19,5,1,8,11,419,5,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,08:30-08:45,4,0,2,5,250,18,4,5,12,15,403,6,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,08:45-09:00,2,0,1,6,215,11,9,1,10,22,329,3,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-16:15,23,5,4,7,352,12,14,3,22,20,321,7,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-17:00,120,10,12,15,1205,24,66,4,97,71,1288,51,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-16:30,27,1,1,6,246,3,25,1,14,13,326,14,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-17:15,130,8,9,15,1255,19,59,4,105,65,1304,56,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-16:45,30,4,6,0,252,5,17,0,26,24,324,11,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-17:30,150,10,9,15,1387,24,46,4,127,67,1314,60,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:00,40,0,1,2,355,4,10,0,35,14,317,19,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:45,184,9,10,21,1481,28,43,6,140,66,1321,56,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-17:15,33,3,1,7,402,7,7,3,30,14,337,12,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-18:00,188,12,14,27,1509,31,48,8,140,61,1288,50,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,17:15-17:30,47,3,1,6,378,8,12,1,36,15,336,18,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,17:30-17:45,64,3,7,6,346,9,14,2,39,23,331,7,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,MARKET PLACE BOULEVARD / SR 54,x,THURSDAY FEBRUARY 20 2014,17:45-18:00,44,3,5,8,383,7,15,2,35,9,284,13,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,07:00-07:15,15,88,7,30,117,36,14,107,46,99,186,94,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,07:00-08:00,131,650,66,118,491,205,87,680,266,462,796,417,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,07:15-07:30,37,127,22,32,105,47,12,183,67,102,183,74,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,07:15-08:15,165,704,78,113,527,204,117,710,282,460,823,412,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,07:30-07:45,46,197,10,21,124,56,35,190,82,140,206,144,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,07:30-08:30,164,694,67,102,592,213,143,669,275,441,859,442,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,07:45-08:00,33,238,27,35,145,66,26,200,71,121,221,105,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,07:45-08:45,158,637,67,98,642,188,137,592,266,380,890,400,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,08:00-08:15,49,142,19,25,153,35,44,137,62,97,213,89,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,08:00-09:00,155,562,60,95,646,157,134,519,236,324,897,395,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,08:15-08:30,36,117,11,21,170,56,38,142,60,83,219,104,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,08:30-08:45,40,140,10,17,174,31,29,113,73,79,237,102,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,08:45-09:00,30,163,20,32,149,35,23,127,41,65,228,100,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-16:15,48,146,27,25,209,35,44,146,79,81,148,112,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,16:00-17:00,155,713,120,50,726,94,162,611,325,331,652,352,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-16:30,33,189,20,7,148,15,34,139,82,97,225,86,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,16:15-17:15,172,768,124,29,748,73,162,672,353,333,669,303,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-16:45,28,190,24,8,153,17,33,163,67,65,122,79,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,16:30-17:30,194,804,123,29,819,76,166,772,392,333,612,280,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:00,46,188,49,10,216,27,51,163,97,88,157,75,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,16:45-17:45,242,805,114,30,875,82,164,819,441,373,668,267,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-17:15,65,201,31,4,231,14,44,207,107,83,165,63,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,17:00-18:00,258,802,93,26,857,71,142,881,457,372,687,273,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,17:15-17:30,55,225,19,7,219,18,38,239,121,97,168,63,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,17:30-17:45,76,191,15,9,209,23,31,210,116,105,178,66,,,,,,,,,,
misc/2014-06-26_SR 54 Report w App-reduced_201407111533133234.txt,SR 74 / SR 54,x,THURSDAY FEBRUARY 20 2014,17:45-18:00,62,185,28,6,198,16,29,225,113,87,176,81,,,,,,,,,,
