caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,07:00-07:15,40,51,15,6,138,4,0,1,0,3,284,11,60,50,30,28,4,3,0,0
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,07:00-08:00,206,300,62,24,627,30,24,35,6,6,1326,65,338,222,84,118,22,9,1,5
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,07:15-07:30,55,82,15,2,154,12,6,12,1,2,321,18,78,60,15,30,9,2,0,0
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,07:15-08:15,216,324,62,24,649,29,30,47,8,3,1383,76,425,234,84,120,22,7,1,14
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,07:30-07:45,56,79,18,6,159,8,8,10,2,0,334,15,88,42,19,28,1,2,1,0
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,07:30-08:30,213,330,61,32,664,20,32,47,8,1,1412,73,469,233,102,115,15,8,1,19
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,07:45-08:00,55,88,14,10,176,6,10,12,3,1,387,21,112,70,20,32,8,2,0,5
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,07:45-08:45,213,343,58,34,700,25,38,48,8,1,1466,79,483,240,112,113,18,11,2,26
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,08:00-08:15,50,75,15,6,160,3,6,13,2,0,341,22,147,62,30,30,4,1,0,9
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,08:00-09:00,218,359,63,27,702,32,33,49,6,0,1471,80,464,207,123,103,16,12,2,22
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,08:15-08:30,52,88,14,10,169,3,8,12,1,0,350,15,122,59,33,25,2,3,0,5
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,08:30-08:45,56,92,15,8,195,13,14,11,2,0,388,21,102,49,29,26,4,5,2,7
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,08:45-09:00,60,104,19,3,178,13,5,13,1,0,392,22,93,37,31,22,6,3,0,1
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,16:00-16:15,71,58,12,4,230,11,11,14,8,2,301,20,77,20,30,40,1,13,6,1
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,16:00-17:00,350,257,51,14,877,29,46,62,12,6,1176,84,281,82,131,126,12,29,6,1
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,16:15-16:30,75,70,18,3,228,6,15,15,2,0,265,16,54,18,38,31,1,7,0,0
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,16:15-17:15,400,251,53,16,865,28,47,74,6,4,1221,92,323,120,140,126,21,29,5,1
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,16:30-16:45,93,60,7,4,209,10,13,17,2,0,285,25,63,15,30,26,9,6,0,0
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,16:30-17:30,446,252,50,18,885,30,44,73,5,6,1345,110,417,152,148,134,39,31,12,1
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,16:45-17:00,111,69,14,3,210,2,7,16,0,4,325,23,87,29,33,29,1,3,0,0
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,16:45-17:45,457,255,59,16,910,24,43,66,7,12,1388,121,486,182,157,149,44,31,21,3
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,17:00-17:15,121,52,14,6,218,10,12,26,2,0,346,28,119,58,39,40,10,13,5,1
caltrain/App D Part 7.txt,4TH STREET / KING STREET,x,THURSDAY MAY 23 2012,17:00-18:00,456,246,54,17,951,29,46,66,11,10,1366,137,552,194,170,152,55,32,27,7
